algorithm,n,height,time
SF,5300,1572.57,0.0115579
FFDH,5310,1383.46,0.0180987
NFDH,5310,1772.03,0.000492
SF,5310,1544,0.0118431
FFDH,5320,1384.07,0.0182973
NFDH,5320,1769.9,0.0005227
SF,5320,1561.51,0.0124741
FFDH,5330,1377.64,0.0184203
NFDH,5330,1759.88,0.0004879
SF,5330,1542.49,0.0119741
FFDH,5340,1427.7,0.0183606
NFDH,5340,1815.55,0.0004986
SF,5340,1591.76,0.0123778
FFDH,5350,1397.61,0.0183608
NFDH,5350,1794.76,0.000516
SF,5350,1567.22,0.0117781
FFDH,5360,1385.64,0.018577
NFDH,5360,1761.32,0.0005934
SF,5360,1554.78,0.0120385
FFDH,5370,1404.94,0.0186579
NFDH,5370,1814.78,0.0007257
SF,5370,1572.64,0.0120754
FFDH,5380,1422.57,0.0192935
NFDH,5380,1822.4,0.0005023
SF,5380,1596.33,0.0120263
FFDH,5390,1346.9,0.0185769
NFDH,5390,1731.08,0.000494
SF,5390,1490.71,0.0119844
FFDH,5400,1423.4,0.0186118
NFDH,5400,1821.13,0.0004951
SF,5400,1592.83,0.0122027
FFDH,5410,1442.99,0.0189766
NFDH,5410,1841.6,0.0006237
SF,5410,1610.84,0.0136056
FFDH,5420,1375.35,0.0185878
NFDH,5420,1758.75,0.0004791
SF,5420,1555.72,0.0119924
FFDH,5430,1399.13,0.0187044
NFDH,5430,1805.24,0.0004847
SF,5430,1593.16,0.0121375
FFDH,5440,1410.19,0.0189212
NFDH,5440,1808.68,0.0005038
SF,5440,1577.09,0.0123529
FFDH,5450,1407.6,0.0188106
NFDH,5450,1810.42,0.0005131
SF,5450,1585.48,0.012385
FFDH,5460,1400.57,0.0189619
NFDH,5460,1792.03,0.0005078
SF,5460,1572.97,0.0122948
FFDH,5470,1456.37,0.0197017
NFDH,5470,1873.5,0.0004979
SF,5470,1624.54,0.012734
FFDH,5480,1440.01,0.0194687
NFDH,5480,1840.72,0.0004946
SF,5480,1599.64,0.0125125
FFDH,5490,1461.3,0.0191037
NFDH,5490,1862.56,0.0004978
SF,5490,1653.88,0.0128272
FFDH,5500,1427.87,0.0194862
NFDH,5500,1825.4,0.0005011
SF,5500,1615.77,0.0123333
FFDH,5510,1400.7,0.0199058
NFDH,5510,1805.57,0.0004934
SF,5510,1574.88,0.0123155
FFDH,5520,1439.13,0.0196862
NFDH,5520,1868.58,0.0004963
SF,5520,1631.6,0.0129353
FFDH,5530,1417.38,0.0198066
NFDH,5530,1830.73,0.0005542
SF,5530,1586.81,0.0133716
FFDH,5540,1469.07,0.0200676
NFDH,5540,1877.94,0.0005164
SF,5540,1648.32,0.0131623
FFDH,5550,1453.55,0.0199488
NFDH,5550,1881.85,0.0005278
SF,5550,1632.92,0.0129939
FFDH,5560,1467.87,0.019992
NFDH,5560,1879.85,0.000511
SF,5560,1654.34,0.0126692
FFDH,5570,1460.2,0.0202709
NFDH,5570,1870.11,0.000528
SF,5570,1644.56,0.0133406
FFDH,5580,1446.51,0.0199529
NFDH,5580,1862.86,0.0005097
SF,5580,1634.03,0.0129479
FFDH,5590,1483.15,0.0201543
NFDH,5590,1878.76,0.0005192
SF,5590,1653.03,0.0134533
FFDH,5600,1415.83,0.0200297
NFDH,5600,1817.71,0.0005103
SF,5600,1594.8,0.0124801
FFDH,5610,1468.31,0.0198431
NFDH,5610,1888.11,0.0006374
SF,5610,1644.78,0.0128783
FFDH,5620,1445.07,0.0204827
NFDH,5620,1850.42,0.000485
SF,5620,1617.12,0.0128296
FFDH,5630,1463.45,0.0218455
NFDH,5630,1870.83,0.0005142
SF,5630,1644.16,0.0130505
FFDH,5640,1457.67,0.0197768
NFDH,5640,1890.79,0.0004999
SF,5640,1648.04,0.0131426
FFDH,5650,1491.2,0.0211806
NFDH,5650,1897.77,0.00076
SF,5650,1674.26,0.0164225
FFDH,5660,1468.05,0.021477
NFDH,5660,1895.61,0.0005423
SF,5660,1655.84,0.0133502
FFDH,5670,1480.43,0.0205811
NFDH,5670,1886.53,0.0005271
SF,5670,1668.7,0.0135358
FFDH,5680,1477.07,0.0210935
NFDH,5680,1902.38,0.0005206
SF,5680,1650.03,0.0130576
FFDH,5690,1480.53,0.0211305
NFDH,5690,1885.22,0.0005314
SF,5690,1664.15,0.0134485
FFDH,5700,1464.85,0.0206504
NFDH,5700,1877.52,0.0005195
SF,5700,1651.35,0.0136775
FFDH,5710,1470.31,0.0212111
NFDH,5710,1892.12,0.000576
SF,5710,1640.22,0.0144113
FFDH,5720,1477.71,0.0204828
NFDH,5720,1902.4,0.0005459
SF,5720,1651.36,0.0134756
FFDH,5730,1463.59,0.0204849
NFDH,5730,1869.26,0.0005116
SF,5730,1638.8,0.013676
FFDH,5740,1468.05,0.020521
NFDH,5740,1878.07,0.0005242
SF,5740,1626.34,0.0130534
FFDH,5750,1484.22,0.0219945
NFDH,5750,1899.11,0.0005178
SF,5750,1669.64,0.0140055
FFDH,5760,1489.41,0.0212943
NFDH,5760,1921.04,0.0005527
SF,5760,1675.74,0.0139562
FFDH,5770,1523.27,0.0217138
NFDH,5770,1942.35,0.0005305
SF,5770,1698.5,0.0139422
FFDH,5780,1453.13,0.0213853
NFDH,5780,1861.83,0.0005455
SF,5780,1630.9,0.0137901
FFDH,5790,1525.52,0.0217157
NFDH,5790,1951.67,0.0005177
SF,5790,1716.06,0.0140647
FFDH,5800,1542.24,0.021771
NFDH,5800,1981.18,0.0006119
SF,5800,1731.87,0.0144096
FFDH,5810,1516.5,0.0215524
NFDH,5810,1943.23,0.0005371
SF,5810,1696.16,0.0141054
FFDH,5820,1538.12,0.0221716
NFDH,5820,1971.66,0.0005359
SF,5820,1741.05,0.01444
FFDH,5830,1533.09,0.0224765
NFDH,5830,1948.63,0.0005477
SF,5830,1717.88,0.0139769
FFDH,5840,1545.68,0.0222224
NFDH,5840,1962.29,0.0005401
SF,5840,1739.06,0.0143588
FFDH,5850,1515.21,0.0216786
NFDH,5850,1951.72,0.0005149
SF,5850,1708.37,0.0140425
FFDH,5860,1540.21,0.0216623
NFDH,5860,1981.36,0.0005401
SF,5860,1728.22,0.0142108
FFDH,5870,1535.75,0.0219208
NFDH,5870,1962.22,0.0005339
SF,5870,1730.48,0.0143635
FFDH,5880,1538.22,0.0228118
NFDH,5880,1981.08,0.0005723
SF,5880,1724.33,0.014893
FFDH,5890,1553.27,0.0223404
NFDH,5890,1999.68,0.0005297
SF,5890,1752.33,0.0145085
FFDH,5900,1500.63,0.021859
NFDH,5900,1922.52,0.0005469
SF,5900,1685.55,0.0141426
FFDH,5910,1550.86,0.022665
NFDH,5910,1981.92,0.0005622
SF,5910,1740.43,0.0148054
FFDH,5920,1525.51,0.0222408
NFDH,5920,1961.23,0.0005397
SF,5920,1714.66,0.0186689
FFDH,5930,1542.68,0.02234
NFDH,5930,1981.69,0.0005307
SF,5930,1719.45,0.0146493
FFDH,5940,1529.85,0.0225024
NFDH,5940,1954.48,0.0005342
SF,5940,1709.14,0.0146893
FFDH,5950,1540.86,0.0223972
NFDH,5950,1986.48,0.0005273
SF,5950,1748.98,0.0146656
FFDH,5960,1523.53,0.0225427
NFDH,5960,1957.51,0.0005336
SF,5960,1710.7,0.0143111
FFDH,5970,1560.24,0.0227135
NFDH,5970,1990.01,0.0010604
SF,5970,1752.96,0.0148175
FFDH,5980,1528.16,0.0235398
NFDH,5980,1973.32,0.0005393
SF,5980,1706.24,0.0142965
FFDH,5990,1580.77,0.022701
NFDH,5990,2028.14,0.000545
SF,5990,1772.37,0.0149824
FFDH,6000,1568.4,0.0225208
NFDH,6000,1988.13,0.0005244
SF,6000,1747.37,0.0146985
FFDH,6010,1545.32,0.0227751
NFDH,6010,1989.67,0.0005396
SF,6010,1740.58,0.0146681
FFDH,6020,1556.09,0.0228767
NFDH,6020,1995.43,0.0005434
SF,6020,1754.68,0.0149569
FFDH,6030,1593.3,0.0233221
NFDH,6030,2034.94,0.0005509
SF,6030,1796.46,0.0149995
FFDH,6040,1576.76,0.0234203
NFDH,6040,2023.32,0.000559
SF,6040,1771.68,0.0148595
FFDH,6050,1625.01,0.0227581
NFDH,6050,2078.42,0.0005529
SF,6050,1841.81,0.0153963
FFDH,6060,1537.84,0.0228469
NFDH,6060,1967.24,0.0005514
SF,6060,1726.97,0.0149377
FFDH,6070,1580.93,0.0236869
NFDH,6070,2037.4,0.0005389
SF,6070,1769.19,0.0150469
FFDH,6080,1610.09,0.0236789
NFDH,6080,2060.05,0.0005334
SF,6080,1798.64,0.0153149
FFDH,6090,1576.62,0.0234914
NFDH,6090,2012.02,0.0005809
SF,6090,1779.1,0.0154906
FFDH,6100,1596.79,0.0236366
NFDH,6100,2059.93,0.0005411
SF,6100,1786.1,0.0159247
FFDH,6110,1564.53,0.0236909
NFDH,6110,2015.85,0.0005509
SF,6110,1757.41,0.0161348
FFDH,6120,1593.78,0.0236922
NFDH,6120,2055.19,0.00058
SF,6120,1792.12,0.015624
FFDH,6130,1576.45,0.0235254
NFDH,6130,2019.63,0.0005697
SF,6130,1776.02,0.0154416
FFDH,6140,1567.19,0.0238989
NFDH,6140,2015.46,0.0005605
SF,6140,1749.87,0.0150836
FFDH,6150,1595.64,0.023996
NFDH,6150,2053.65,0.0005471
SF,6150,1798.31,0.0153985
FFDH,6160,1592.22,0.0239746
NFDH,6160,2034.11,0.0005344
SF,6160,1780.61,0.015358
FFDH,6170,1612.34,0.0239491
NFDH,6170,2074.58,0.0005647
SF,6170,1814.3,0.0161867
FFDH,6180,1576.89,0.0240699
NFDH,6180,2023.31,0.0007457
SF,6180,1769.29,0.0152953
FFDH,6190,1627.78,0.0245094
NFDH,6190,2095.16,0.0005617
SF,6190,1825.25,0.0155794
FFDH,6200,1578.72,0.0242211
NFDH,6200,2023.49,0.0005541
SF,6200,1767.06,0.0162805
FFDH,6210,1608.32,0.0242513
NFDH,6210,2075.96,0.0005519
SF,6210,1827.55,0.0163367
FFDH,6220,1605.58,0.0250201
NFDH,6220,2070.2,0.0005435
SF,6220,1807.41,0.0157512
FFDH,6230,1597.71,0.0248781
NFDH,6230,2051.12,0.0006798
SF,6230,1785.8,0.0159905
FFDH,6240,1601.92,0.0247767
NFDH,6240,2050.69,0.0005656
SF,6240,1807.86,0.0157698
FFDH,6250,1598.85,0.0244635
NFDH,6250,2050.47,0.0005551
SF,6250,1788.44,0.0157396
FFDH,6260,1638.99,0.024773
NFDH,6260,2118.47,0.0005443
SF,6260,1840.28,0.015788
FFDH,6270,1630.48,0.0247124
NFDH,6270,2073.16,0.0005708
SF,6270,1820.73,0.0159731
FFDH,6280,1605.32,0.0252656
NFDH,6280,2060.2,0.0005471
SF,6280,1789.68,0.0162269
FFDH,6290,1631.97,0.0253852
NFDH,6290,2101.93,0.0005602
SF,6290,1832.1,0.0159665
FFDH,6300,1619.26,0.0252283
NFDH,6300,2076.72,0.000578
SF,6300,1822.81,0.0164863
FFDH,6310,1667.38,0.0257742
NFDH,6310,2149.54,0.0005496
SF,6310,1871.84,0.0171664
FFDH,6320,1654.08,0.0257289
NFDH,6320,2114.11,0.0005581
SF,6320,1867.49,0.0166928
FFDH,6330,1681.28,0.0260718
NFDH,6330,2150.69,0.000554
SF,6330,1890.45,0.0165707
FFDH,6340,1651.81,0.0261468
NFDH,6340,2123.32,0.0005555
SF,6340,1867.33,0.0164578
FFDH,6350,1653.76,0.0261842
NFDH,6350,2122.58,0.0005754
SF,6350,1851.11,0.0163814
FFDH,6360,1618.79,0.0259591
NFDH,6360,2067.68,0.0005613
SF,6360,1817.82,0.0163104
FFDH,6370,1664.96,0.0258732
NFDH,6370,2143.95,0.0005694
SF,6370,1850.86,0.0164355
FFDH,6380,1673.68,0.0260828
NFDH,6380,2148.14,0.0005411
SF,6380,1876.86,0.0168481
FFDH,6390,1656.08,0.0256902
NFDH,6390,2126.25,0.0005838
SF,6390,1863.21,0.0172118
FFDH,6400,1649.89,0.0260064
NFDH,6400,2125.47,0.0006025
SF,6400,1855.41,0.0167898
FFDH,6410,1671.58,0.0263142
NFDH,6410,2141.31,0.0005788
SF,6410,1887.76,0.0171453
FFDH,6420,1656.26,0.0260336
NFDH,6420,2127.29,0.0005738
SF,6420,1852.84,0.016533
FFDH,6430,1701.24,0.026823
NFDH,6430,2189.17,0.0005457
SF,6430,1918.71,0.0167812
FFDH,6440,1679.07,0.02636
NFDH,6440,2143.8,0.0006006
SF,6440,1891.06,0.0174261
FFDH,6450,1642.54,0.026497
NFDH,6450,2116.52,0.0005964
SF,6450,1852.6,0.0168927
FFDH,6460,1661.75,0.0279862
NFDH,6460,2130.92,0.0006294
SF,6460,1868.75,0.0169594
FFDH,6470,1637.14,0.0262278
NFDH,6470,2117.04,0.0006089
SF,6470,1837.86,0.0167894
FFDH,6480,1704.6,0.0268862
NFDH,6480,2195.55,0.000583
SF,6480,1914.87,0.0172168
FFDH,6490,1679.68,0.0272266
NFDH,6490,2145.77,0.0005612
SF,6490,1875.8,0.0175304
FFDH,6500,1684.01,0.0267136
NFDH,6500,2164.32,0.0005784
SF,6500,1902.5,0.0169674
FFDH,6510,1686.23,0.0275935
NFDH,6510,2162.68,0.000596
SF,6510,1890.97,0.017517
FFDH,6520,1727.22,0.0271673
NFDH,6520,2214.14,0.0005662
SF,6520,1934.33,0.0174213
FFDH,6530,1687.96,0.0272135
NFDH,6530,2161.56,0.000599
SF,6530,1905.34,0.0174712
FFDH,6540,1668.08,0.0272216
NFDH,6540,2126.66,0.0005874
SF,6540,1877.3,0.0169961
FFDH,6550,1705.17,0.0270206
NFDH,6550,2173.54,0.000583
SF,6550,1908.14,0.0177517
FFDH,6560,1711.86,0.0276419
NFDH,6560,2186.45,0.000613
SF,6560,1924.19,0.0175375
FFDH,6570,1703.85,0.0278111
NFDH,6570,2178.09,0.0005729
SF,6570,1914.45,0.0180801
FFDH,6580,1731.04,0.0283293
NFDH,6580,2211.1,0.0005697
SF,6580,1947.78,0.0182233
FFDH,6590,1660.02,0.0268347
NFDH,6590,2140.3,0.0008
SF,6590,1863.27,0.0166317
FFDH,6600,1732.42,0.0277945
NFDH,6600,2224.12,0.0005671
SF,6600,1939.38,0.0174008
FFDH,6610,1709.74,0.0274418
NFDH,6610,2193.97,0.000593
SF,6610,1919.32,0.017878
FFDH,6620,1718.74,0.0275554
NFDH,6620,2206.07,0.0005762
SF,6620,1945.24,0.0176448
FFDH,6630,1687.73,0.0275146
NFDH,6630,2168.03,0.0005829
SF,6630,1896.87,0.0176777
FFDH,6640,1712.93,0.0276905
NFDH,6640,2183.12,0.0005771
SF,6640,1914.42,0.0178433
FFDH,6650,1722.15,0.0283048
NFDH,6650,2229.6,0.0006091
SF,6650,1938.91,0.0200479
FFDH,6660,1658.04,0.0281318
NFDH,6660,2128.34,0.0005782
SF,6660,1859.19,0.0179905
FFDH,6670,1714.7,0.0282081
NFDH,6670,2213.23,0.000567
SF,6670,1932.14,0.0176852
FFDH,6680,1730.22,0.0285674
NFDH,6680,2227.47,0.0005928
SF,6680,1949.42,0.0194786
FFDH,6690,1744.01,0.0284489
NFDH,6690,2247.81,0.0005961
SF,6690,1981.17,0.0182662
FFDH,6700,1739.17,0.028713
NFDH,6700,2218.25,0.000638
SF,6700,1957.28,0.0187821
FFDH,6710,1758.64,0.0286767
NFDH,6710,2258.94,0.0005855
SF,6710,1965.93,0.0179677
FFDH,6720,1761.5,0.0286894
NFDH,6720,2256.89,0.0005793
SF,6720,1997.45,0.01882
FFDH,6730,1732.86,0.0285175
NFDH,6730,2217.78,0.000587
SF,6730,1943.61,0.0182809
FFDH,6740,1778.03,0.0287316
NFDH,6740,2281.45,0.0005948
SF,6740,1993.07,0.0187906
FFDH,6750,1767.19,0.0288163
NFDH,6750,2258.94,0.0006033
SF,6750,1986.93,0.0188869
FFDH,6760,1764.11,0.0292731
NFDH,6760,2278.48,0.0006068
SF,6760,1987.08,0.0193628
FFDH,6770,1756.32,0.0297
NFDH,6770,2256.18,0.0006055
SF,6770,1973.06,0.0190916
FFDH,6780,1779.18,0.0292723
NFDH,6780,2289.46,0.0006048
SF,6780,1983.07,0.0186884
FFDH,6790,1800.59,0.0295871
NFDH,6790,2303.68,0.0005993
SF,6790,2032.41,0.0192862
FFDH,6800,1764.42,0.0300733
NFDH,6800,2260.98,0.0006057
SF,6800,1990.72,0.0188646
FFDH,6810,1785.9,0.0295702
NFDH,6810,2291.63,0.0006046
SF,6810,2004.33,0.0196494
FFDH,6820,1772.15,0.0302014
NFDH,6820,2285.93,0.000592
SF,6820,1987.71,0.0190233
FFDH,6830,1749.65,0.0291345
NFDH,6830,2229.09,0.0006038
SF,6830,1953.84,0.0184816
FFDH,6840,1775.58,0.0295126
NFDH,6840,2267.63,0.000642
SF,6840,1989.38,0.0190845
FFDH,6850,1769.28,0.0298734
NFDH,6850,2265.54,0.0005967
SF,6850,2001.64,0.0192507
FFDH,6860,1799.78,0.0300664
NFDH,6860,2305.34,0.0006148
SF,6860,2019.6,0.0192742
FFDH,6870,1782.71,0.0303917
NFDH,6870,2289.85,0.000627
SF,6870,2019.85,0.0189815
FFDH,6880,1796.58,0.0306233
NFDH,6880,2305.11,0.0006135
SF,6880,2015.29,0.0191868
FFDH,6890,1790.98,0.0298221
NFDH,6890,2292.1,0.0006063
SF,6890,2006.18,0.0190656
FFDH,6900,1749.71,0.0293284
NFDH,6900,2254.82,0.0006014
SF,6900,1981.01,0.0189041
FFDH,6910,1818.97,0.0303286
NFDH,6910,2338.29,0.0006469
SF,6910,2043.37,0.0201239
FFDH,6920,1802.19,0.0304128
NFDH,6920,2313.52,0.0006227
SF,6920,2023.79,0.0192402
FFDH,6930,1795.97,0.0303395
NFDH,6930,2306.85,0.0006083
SF,6930,2012.99,0.019793
FFDH,6940,1817.2,0.0307956
NFDH,6940,2325.45,0.0006091
SF,6940,2038.5,0.0201381
FFDH,6950,1767.61,0.0304349
NFDH,6950,2292.97,0.0006072
SF,6950,1986.12,0.0188203
FFDH,6960,1839.01,0.0306971
NFDH,6960,2376.13,0.000611
SF,6960,2074.96,0.0199329
FFDH,6970,1829.27,0.0311635
NFDH,6970,2361.16,0.0006196
SF,6970,2049.15,0.0195441
FFDH,6980,1788.23,0.0307474
NFDH,6980,2299.53,0.0005824
SF,6980,1995.34,0.0196099
FFDH,6990,1850.01,0.0313637
NFDH,6990,2366.3,0.0006021
SF,6990,2092.68,0.0203061
FFDH,7000,1829.86,0.0311645
NFDH,7000,2349.44,0.0006279
SF,7000,2041.5,0.0198011
FFDH,7010,1830.56,0.032195
NFDH,7010,2349.72,0.0006425
SF,7010,2060.13,0.0210219
FFDH,7020,1791.37,0.0315747
NFDH,7020,2297.25,0.0006334
SF,7020,2010.66,0.0194985
FFDH,7030,1830.24,0.0309495
NFDH,7030,2339.58,0.0006402
SF,7030,2041.13,0.0205091
FFDH,7040,1829.71,0.0311772
NFDH,7040,2345.26,0.0006164
SF,7040,2057.86,0.0206278
FFDH,7050,1822.66,0.0317378
NFDH,7050,2352,0.0006835
SF,7050,2049.64,0.020231
FFDH,7060,1832.9,0.0315924
NFDH,7060,2363.88,0.0007087
SF,7060,2060.8,0.0203521
FFDH,7070,1841.2,0.031862
NFDH,7070,2364.72,0.0006407
SF,7070,2076.2,0.0216778
FFDH,7080,1854.33,0.0313742
NFDH,7080,2370.79,0.0006243
SF,7080,2086.35,0.0201277
FFDH,7090,1889.91,0.0324478
NFDH,7090,2426.58,0.000637
SF,7090,2130.82,0.0208613
FFDH,7100,1817.7,0.0320504
NFDH,7100,2343.25,0.0006103
SF,7100,2043.35,0.0207266
FFDH,7110,1867.88,0.0318121
NFDH,7110,2397.77,0.0005904
SF,7110,2119.52,0.021486
FFDH,7120,1847.75,0.0320366
NFDH,7120,2375.26,0.000768
SF,7120,2083.67,0.0210774
FFDH,7130,1833.42,0.031708
NFDH,7130,2371.29,0.0006184
SF,7130,2058.7,0.0201453
FFDH,7140,1882.42,0.0333411
NFDH,7140,2420.55,0.0006328
SF,7140,2106.06,0.0209302
FFDH,7150,1873.62,0.0338232
NFDH,7150,2415.84,0.0006327
SF,7150,2114.45,0.0209895
FFDH,7160,1897.71,0.0321047
NFDH,7160,2425.2,0.0006151
SF,7160,2141.65,0.0213535
FFDH,7170,1863.8,0.0332974
NFDH,7170,2394.2,0.0006136
SF,7170,2093.24,0.0211556
FFDH,7180,1874.52,0.0324473
NFDH,7180,2402.35,0.0006097
SF,7180,2104.36,0.0218249
FFDH,7190,1861.07,0.0322688
NFDH,7190,2377.67,0.00063
SF,7190,2096.1,0.0212286
FFDH,7200,1871.9,0.0331052
NFDH,7200,2404.76,0.0006139
SF,7200,2100.85,0.0210682
FFDH,7210,1879.3,0.032682
NFDH,7210,2421.86,0.0006421
SF,7210,2120.68,0.0212561
FFDH,7220,1860.68,0.0322789
NFDH,7220,2398.01,0.000616
SF,7220,2096.53,0.0212197
FFDH,7230,1859.45,0.0324304
NFDH,7230,2400.18,0.0006223
SF,7230,2094.54,0.0205169
FFDH,7240,1859.76,0.03262
NFDH,7240,2391.09,0.0008919
SF,7240,2093.12,0.0209161
FFDH,7250,1849.93,0.0326536
NFDH,7250,2383.14,0.0006402
SF,7250,2093.4,0.0212138
FFDH,7260,1852.12,0.0334839
NFDH,7260,2381.37,0.0006989
SF,7260,2088.71,0.0210219
FFDH,7270,1871.52,0.0332953
NFDH,7270,2418.08,0.0006368
SF,7270,2096.77,0.0210774
FFDH,7280,1903.17,0.0338692
NFDH,7280,2435.14,0.000699
SF,7280,2135.25,0.0215892
FFDH,7290,1877.35,0.0334518
NFDH,7290,2401.02,0.0006394
SF,7290,2101.93,0.0207826
FFDH,7300,1876.49,0.0338857
NFDH,7300,2403.57,0.000632
SF,7300,2113.24,0.0215561
FFDH,7310,1897.74,0.0340578
NFDH,7310,2423.56,0.0006929
SF,7310,2130.75,0.022225
FFDH,7320,1895.67,0.0339172
NFDH,7320,2440.76,0.0006409
SF,7320,2140.56,0.0216783
FFDH,7330,1875.17,0.0338526
NFDH,7330,2402.69,0.0006427
SF,7330,2121.74,0.0212221
FFDH,7340,1890.42,0.0332741
NFDH,7340,2432.92,0.0006357
SF,7340,2132.64,0.0212594
FFDH,7350,1899.17,0.0341646
NFDH,7350,2426.93,0.0006477
SF,7350,2122.05,0.0218638
FFDH,7360,1886.96,0.03401
NFDH,7360,2429.29,0.0006622
SF,7360,2118.63,0.0217508
FFDH,7370,1890.17,0.0449204
NFDH,7370,2429.5,0.0006305
SF,7370,2118.78,0.0219989
FFDH,7380,1918.17,0.0349482
NFDH,7380,2454.97,0.0006535
SF,7380,2172.45,0.0230123
FFDH,7390,1915.66,0.0363592
NFDH,7390,2461.63,0.0006327
SF,7390,2159.22,0.0222489
FFDH,7400,1929.62,0.0351625
NFDH,7400,2467.86,0.0006264
SF,7400,2154.13,0.0221217
FFDH,7410,1945.35,0.0347804
NFDH,7410,2496.81,0.0006836
SF,7410,2198.07,0.0225385
FFDH,7420,1920.84,0.0347874
NFDH,7420,2466.12,0.0006182
SF,7420,2144.13,0.0216446
FFDH,7430,1945.2,0.0350808
NFDH,7430,2512.97,0.0006617
SF,7430,2189.77,0.0256133
FFDH,7440,1897.33,0.0352524
NFDH,7440,2447.75,0.000632
SF,7440,2130.54,0.0225144
FFDH,7450,1940.51,0.035031
NFDH,7450,2492.23,0.0006387
SF,7450,2181.52,0.022538
FFDH,7460,1910.61,0.034823
NFDH,7460,2447.49,0.0006443
SF,7460,2139.99,0.0226683
FFDH,7470,1945.63,0.0362189
NFDH,7470,2513.83,0.0006451
SF,7470,2190.95,0.0226074
FFDH,7480,1918.31,0.035756
NFDH,7480,2470.88,0.0006313
SF,7480,2150.2,0.0226716
FFDH,7490,1978.67,0.035258
NFDH,7490,2546.54,0.000643
SF,7490,2236.25,0.0228528
FFDH,7500,1924.14,0.0351426
NFDH,7500,2466.52,0.0006502
SF,7500,2165.59,0.0219276
FFDH,7510,1975.97,0.0358676
NFDH,7510,2542.77,0.0006487
SF,7510,2230.33,0.0235177
FFDH,7520,1967.54,0.0355007
NFDH,7520,2539.21,0.0006541
SF,7520,2208.91,0.0225328
FFDH,7530,1940.42,0.035415
NFDH,7530,2504.12,0.0006652
SF,7530,2183.87,0.0231124
FFDH,7540,1972.46,0.0366389
NFDH,7540,2522.62,0.000629
SF,7540,2234.9,0.0234605
FFDH,7550,1956.58,0.0358932
NFDH,7550,2521.78,0.0006611
SF,7550,2203.76,0.0231237
FFDH,7560,1981.77,0.0396882
NFDH,7560,2558.86,0.0006767
SF,7560,2221.36,0.0234156
FFDH,7570,1963.35,0.0360553
NFDH,7570,2530.16,0.0006709
SF,7570,2210.32,0.0228376
FFDH,7580,1993.19,0.0362597
NFDH,7580,2569.02,0.0006432
SF,7580,2251.54,0.0231901
FFDH,7590,1988.88,0.0369835
NFDH,7590,2559.06,0.0007351
SF,7590,2241.87,0.0231492
FFDH,7600,1975.63,0.0371627
NFDH,7600,2537,0.0006579
SF,7600,2237.99,0.0235202
FFDH,7610,1969.5,0.0365122
NFDH,7610,2554.38,0.0006672
SF,7610,2222.29,0.0237377
FFDH,7620,1967.93,0.0364733
NFDH,7620,2529.33,0.0006677
SF,7620,2214.19,0.0243459
FFDH,7630,2029.37,0.0376045
NFDH,7630,2603.82,0.0006974
SF,7630,2270.53,0.0238719
FFDH,7640,1971.4,0.0363397
NFDH,7640,2531.25,0.0006712
SF,7640,2214.43,0.0235279
FFDH,7650,1944.45,0.0363436
NFDH,7650,2505.57,0.0006672
SF,7650,2195.78,0.0234031
FFDH,7660,1975.27,0.036125
NFDH,7660,2527.04,0.000635
SF,7660,2198.76,0.0232164
FFDH,7670,2003.76,0.037078
NFDH,7670,2581.96,0.0006914
SF,7670,2251.44,0.024169
FFDH,7680,2003.28,0.037254
NFDH,7680,2583.99,0.0006547
SF,7680,2260.1,0.0238787
FFDH,7690,1969.56,0.037331
NFDH,7690,2536.93,0.0006835
SF,7690,2213.8,0.0235577
FFDH,7700,1982.29,0.0370215
NFDH,7700,2555.24,0.0006408
SF,7700,2233.06,0.0234728
FFDH,7710,1995.11,0.0372533
NFDH,7710,2570.28,0.0006791
SF,7710,2228.31,0.0238065
FFDH,7720,2034.81,0.0377419
NFDH,7720,2609.91,0.0006654
SF,7720,2291.18,0.0242786
FFDH,7730,1986.81,0.0370254
NFDH,7730,2566.94,0.0006464
SF,7730,2233.81,0.0245036
FFDH,7740,2025.92,0.0387283
NFDH,7740,2607.57,0.0006468
SF,7740,2277.2,0.0246606
FFDH,7750,2014.77,0.0384215
NFDH,7750,2587.53,0.0006435
SF,7750,2273.98,0.024826
FFDH,7760,2013.4,0.0378283
NFDH,7760,2576.28,0.0006514
SF,7760,2262.59,0.0233354
FFDH,7770,2007.52,0.0378482
NFDH,7770,2592.1,0.000666
SF,7770,2265.29,0.0250594
FFDH,7780,2047.9,0.0386567
NFDH,7780,2634.84,0.0006608
SF,7780,2304.5,0.0246993
FFDH,7790,1970.66,0.0381397
NFDH,7790,2549.91,0.0007927
SF,7790,2213.84,0.0243894
FFDH,7800,1992.64,0.0372726
NFDH,7800,2562.57,0.0006793
SF,7800,2222.16,0.0237454
FFDH,7810,2018.61,0.0386257
NFDH,7810,2603.43,0.0006667
SF,7810,2287.73,0.0245744
FFDH,7820,2036.41,0.0391856
NFDH,7820,2607.26,0.0006576
SF,7820,2280.56,0.0258615
FFDH,7830,2052.46,0.0397061
NFDH,7830,2645.77,0.0006474
SF,7830,2293.57,0.0251237
FFDH,7840,2058.17,0.0387544
NFDH,7840,2643.49,0.000668
SF,7840,2326.47,0.0250676
FFDH,7850,2079.34,0.0393692
NFDH,7850,2661.42,0.000665
SF,7850,2349.92,0.0253049
FFDH,7860,2013.73,0.0387634
NFDH,7860,2591.49,0.0007078
